Cabeçalho ==========
Este cabeçalho deve ser removido
Você deve fazer um tratamento de strings
Nós armazenaremos tudo que estiver depois de testes

TESTE
ID,A,B
1,1,1
2,4,0.5
3,9,0.333333333333333
4,16,0.25
5,25,0.2
6,36,0.166666666666667
7,49,0.142857142857143
8,64,0.125
9,81,0.111111111111111
10,100,0.1
11,121,0.0909090909090909
12,144,0.0833333333333333
13,169,0.0769230769230769
14,196,0.0714285714285714
15,225,0.0666666666666667
16,256,0.0625
17,289,0.0588235294117647
18,324,0.0555555555555556
19,361,0.0526315789473684
20,400,0.05
21,441,0.0476190476190476
22,484,0.0454545454545455
23,529,0.0434782608695652
24,576,0.0416666666666667
25,625,0.04
26,676,0.0384615384615385
27,729,0.037037037037037
28,784,0.0357142857142857
29,841,0.0344827586206897
30,900,0.0333333333333333
31,961,0.032258064516129
32,1024,0.03125
33,1089,0.0303030303030303
34,1156,0.0294117647058824
35,1225,0.0285714285714286
36,1296,0.0277777777777778
37,1369,0.027027027027027
38,1444,0.0263157894736842
39,1521,0.0256410256410256
40,1600,0.025
41,1681,0.024390243902439
42,1764,0.0238095238095238
43,1849,0.0232558139534884
44,1936,0.0227272727272727
45,2025,0.0222222222222222
46,2116,0.0217391304347826
47,2209,0.0212765957446809
48,2304,0.0208333333333333
49,2401,0.0204081632653061
50,2500,0.02
