Cabeçalho ==========
Este cabeçalho deve ser removido
Você deve fazer um tratamento de strings
Nós armazenaremos tudo que estiver depois de testes.

TESTE
ID,A,B
51,2601,0.0196078431372549
52,2704,0.0192307692307692
53,2809,0.0188679245283019
54,2916,0.0185185185185185
55,3025,0.0181818181818182
56,3136,0.0178571428571429
57,3249,0.0175438596491228
58,3364,0.0172413793103448
59,3481,0.0169491525423729
60,3600,0.0166666666666667
61,3721,0.0163934426229508
62,3844,0.0161290322580645
63,3969,0.0158730158730159
64,4096,0.015625
65,4225,0.0153846153846154
66,4356,0.0151515151515152
67,4489,0.0149253731343284
68,4624,0.0147058823529412
69,4761,0.0144927536231884
70,4900,0.0142857142857143
71,5041,0.0140845070422535
72,5184,0.0138888888888889
73,5329,0.0136986301369863
74,5476,0.0135135135135135
75,5625,0.0133333333333333
76,5776,0.0131578947368421
77,5929,0.012987012987013
78,6084,0.0128205128205128
79,6241,0.0126582278481013
80,6400,0.0125
81,6561,0.0123456790123457
82,6724,0.0121951219512195
83,6889,0.0120481927710843
84,7056,0.0119047619047619
85,7225,0.0117647058823529
86,7396,0.0116279069767442
87,7569,0.0114942528735632
88,7744,0.0113636363636364
89,7921,0.0112359550561798
90,8100,0.0111111111111111
91,8281,0.010989010989011
92,8464,0.0108695652173913
93,8649,0.010752688172043
94,8836,0.0106382978723404
95,9025,0.0105263157894737
96,9216,0.0104166666666667
97,9409,0.0103092783505155
98,9604,0.0102040816326531
99,9801,0.0101010101010101
100,10000,0.01
