Municipios,Estado,Posicao,PIB (1 000 R),Participacao (),Participacao acumulada ()
Sao Paulo ,SP,1º,699288352.21195,10.6221246792377,10.6221246792377
Rio de Janeiro ,RJ,2º,337594461.665613,5.12802830404561,15.7501529832834
Brasilia ,DF,3º,244682756.473638,3.71670819040726,19.4668611736906
Belo Horizonte ,MG,4º,88951167.8048084,1.35115992107945,20.8180210947701
Curitiba ,PR,5º,84702356.719838,1.28662087800755,22.1046419727776
Osasco ,SP,6º,77910495.9465849,1.1834531479727,23.2880951207503
Porto Alegre ,RS,7º,73862305.9526552,1.12196152051351,24.4100566412638
Manaus ,AM,8º,73201651.2482915,1.11192623733244,25.5219828785963
Salvador ,BA,9º,62717483.4006896,0.952672708108014,26.4746555867043
Fortaleza ,CE,10º,61579403.1721045,0.935385375858352,27.4100409625626
Campinas ,SP,11º,59053563.0233,0.897018100190797,28.3070590627534
Guarulhos ,SP,12º,55743649.9978385,0.846740830845935,29.1537998935994
Recife ,PE,13º,51859618.3333842,0.787742753060942,29.9415426466603
Goiania ,GO,14º,49023142.3556849,0.744656948200213,30.6861995948605
Barueri ,SP,15º,47553588.8580355,0.722334567989723,31.4085341628502
Sao Bernardo do Campo ,SP,16º,44680389.365962,0.678690936379688,32.0872250992299
Jundiai ,SP,17º,41227952.9465785,0.626248750008596,32.7134738492385
Duque de Caxias ,RJ,18º,40892161.0526168,0.621148102539413,33.3346219517779
Sao Jose dos Campos ,SP,19º,39829403.9080307,0.605004920892191,33.9396268726701
Paulinia ,SP,20º,35346489.8746118,0.536909875924464,34.4765367485946
Ribeirao Preto ,SP,21º,35315843.1810043,0.536444355514357,35.012981104109
Uberlandia ,MG,22º,34201961.8013532,0.519524601517154,35.5325057056261
Sorocaba ,SP,23º,31852858.4259929,0.483841940911459,36.0163476465376
Belem ,PA,24º,30238483.9612013,0.459319743752372,36.4756673902899
Sao Luis ,MA,25º,29727649.8834845,0.451560221880247,36.9272276121702
Contagem ,MG,26º,28988053.323117,0.44032581928837,37.3675534314586
Niteroi ,RJ,27º,27471324.0474245,0.41728684342084,37.7848402748794
Santo Andre ,SP,28º,27470680.4042138,0.417277066540658,38.2021173414201
Joinville ,SC,29º,27378204.9577805,0.415872373156768,38.6179897145768
Campo Grande ,MS,30º,27034851.0353044,0.410656859181583,39.0286465737584
Natal ,RN,31º,23454682.5804156,0.356274435135462,39.3849210088939
Cuiaba ,MT,32º,23301195.03816,0.353942973721309,39.7388639826152
Camacari ,BA,33º,23103227.3901633,0.350935863660309,40.0897998462755
Betim ,MG,34º,23088152.505627,0.350706877573865,40.4405067238494
Sao Jose dos Pinhais ,PR,35º,22581192.4631292,0.343006201934452,40.7835129257838
Santos ,SP,36º,22532671.8014043,0.342269177620046,41.1257821034038
Itajai ,SC,37º,21913882.0995111,0.332869819911674,41.4586519233155
Piracicaba ,SP,38º,21896871.5013668,0.332611430516534,41.7912633538321
Maceio ,AL,39º,21827916.5963836,0.331564011957852,42.1228273657899
Caxias do Sul ,RS,40º,21717020.2359428,0.329879506612739,42.4527068724027
Campos dos Goytacazes ,RJ,41º,21088776.6706428,0.320336545603255,42.7730434180059
Vitoria ,ES,42º,20255652.0940572,0.307681461190884,43.0807248791968
Joao Pessoa ,PB,43º,19737916.9629817,0.299817112963562,43.3805419921603
Florianopolis ,SC,44º,19512519.3615292,0.29639334447456,43.6769353366349
Londrina ,PR,45º,19235187.7220138,0.292180702803764,43.9691160394387
Teresina ,PI,46º,19113869.9838,0.290337897704789,44.2594539371435
Canoas ,RS,47º,18947513.3752001,0.287810956376259,44.5472648935197
