cnpj;razao_social;data_autorizacao;prefixo;descricao_linha;tipo_veiculo;sentido;horario;segunda_feira;terca_feira;quarta_feira;quinta_feira;sexta_feira;sabado;domingo;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
04.192.453/0001-18;ALFA LUZ VIACAO TRANSPORTE LTDA;08/07/2016;12-0140-00;BRASILIA(DF) - CALDAS NOVAS(GO);CONVEN. C/ SANITÁRIO;ida;14:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.192.453/0001-18;ALFA LUZ VIACAO TRANSPORTE LTDA;08/07/2016;12-0140-00;BRASILIA(DF) - CALDAS NOVAS(GO);CONVEN. C/ SANITÁRIO;volta;07:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.192.453/0001-18;ALFA LUZ VIACAO TRANSPORTE LTDA;06/11/2018;12-0140-61;BRASILIA(DF) - CALDAS NOVAS(GO);EXECUTIVO;ida;07:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.192.453/0001-18;ALFA LUZ VIACAO TRANSPORTE LTDA;06/11/2018;12-0140-61;BRASILIA(DF) - CALDAS NOVAS(GO);EXECUTIVO;volta;14:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.192.453/0001-18;ALFA LUZ VIACAO TRANSPORTE LTDA;15/05/2017;12-0274-00;CALDAS NOVAS(GO) - ARAGUARI(MG);CONVEN. C/ SANITÁRIO;ida;06:45;;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
04.192.453/0001-18;ALFA LUZ VIACAO TRANSPORTE LTDA;15/05/2017;12-0274-00;CALDAS NOVAS(GO) - ARAGUARI(MG);CONVEN. C/ SANITÁRIO;volta;14:15;;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
04.192.453/0001-18;ALFA LUZ VIACAO TRANSPORTE LTDA;28/04/2017;12-0275-00;BRASILIA(DF) - MORRINHOS(GO);CONVEN. C/ SANITÁRIO;ida;20:00;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
04.192.453/0001-18;ALFA LUZ VIACAO TRANSPORTE LTDA;28/04/2017;12-0275-00;BRASILIA(DF) - MORRINHOS(GO);CONVEN. C/ SANITÁRIO;volta;14:05;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;20/07/2016;01-0002-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITÁRIO;ida;18:30;x;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;20/07/2016;01-0002-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITÁRIO;volta;19:30;;x;;x;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;volta;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZÔNIA TURISMO LTDA.;05/10/2016;01-0002-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
